"FlightNumber","Temperature","Pressure","Fail","nFailures","Damage"
"1",66,50,"no",0,0
"2",70,50,"yes",1,4
"3",69,50,"no",0,0
"4",80,50,NA,NA,NA
"5",68,50,"no",0,0
"6",67,50,"no",0,0
"7",72,50,"no",0,0
"8",73,50,"no",0,0
"9",70,100,"no",0,0
"41B",57,100,"yes",1,4
"41C",63,200,"yes",1,2
"41D",70,200,"yes",1,4
"41G",78,200,"no",0,0
"51A",67,200,"no",0,0
"51C",53,200,"yes",2,11
"51D",67,200,"no",0,0
"51B",75,200,"no",0,0
"51G",70,200,"no",0,0
"51F",81,200,"no",0,0
"51I",76,200,"no",0,0
"51J",79,200,"no",0,0
"61A",75,200,"yes",2,4
"61C",58,200,"yes",1,4
"61I",76,200,"no",0,4
