"month","hour"
"01","00"
"01","23"
"01","23"
"01","22"
"01","22"
"01","21"
"01","21"
"01","20"
"01","20"
"01","19"
"01","19"
"01","18"
"01","18"
"01","17"
"01","17"
"01","17"
"01","16"
"01","16"
"01","16"
"01","15"
"01","15"
"01","14"
"01","14"
"01","14"
"01","13"
"01","13"
"01","10"
"01","10"
"01","09"
"01","07"
"01","06"
"01","06"
"01","05"
"01","05"
"01","04"
"01","04"
"01","03"
"01","03"
"01","02"
"01","02"
"01","01"
"01","01"
"01","00"
"01","00"
"01","00"
"01","23"
"01","23"
"01","22"
"01","22"
"01","21"
"01","21"
"01","20"
"01","20"
"01","19"
"01","19"
"01","19"
"01","18"
"01","18"
"01","17"
"01","17"
"01","16"
"01","16"
"01","15"
"01","15"
"01","14"
"01","14"
"01","13"
"01","13"
"01","12"
"01","12"
"01","10"
"01","10"
"01","09"
"01","08"
"01","07"
"01","07"
"01","06"
"01","06"
"01","05"
"01","05"
"01","04"
"01","04"
"01","03"
"01","03"
"01","02"
"01","02"
"01","02"
"01","01"
"01","01"
"01","01"
"01","00"
"01","00"
"01","23"
"01","23"
"01","22"
"01","22"
"01","22"
"01","21"
"01","21"
"01","21"
"01","20"
"01","20"
"01","19"
"01","19"
"01","18"
"01","18"
"01","17"
"01","17"
"01","17"
"01","16"
"01","16"
"01","16"
"01","15"
"01","15"
"01","15"
"01","14"
"01","14"
"01","13"
"01","13"
"01","13"
"01","12"
"01","12"
"01","12"
"01","11"
"01","11"
"01","11"
"01","10"
"01","09"
"01","08"
"01","07"
"01","06"
"01","05"
"01","05"
"01","04"
"01","04"
"01","03"
"01","03"
"01","02"
"01","02"
"01","01"
"01","01"
"01","00"
"01","00"
"01","23"
"01","23"
"01","22"
"01","22"
"01","22"
"01","21"
"01","21"
"01","21"
"01","20"
"01","20"
"01","19"
"01","19"
"01","18"
"01","18"
"01","18"
"01","17"
"01","17"
"01","17"
"01","16"
"01","16"
"01","16"
"01","15"
"01","15"
"01","14"
"01","14"
"01","13"
"01","13"
"01","13"
"01","12"
"01","12"
"01","12"
"01","11"
"01","08"
"01","06"
"01","05"
"01","05"
"01","05"
"01","04"
"01","04"
"01","03"
"01","03"
"01","02"
"01","02"
"01","01"
"01","01"
"01","01"
"01","00"
"01","23"
"01","23"
"01","22"
"01","22"
"01","21"
"01","21"
"01","20"
"01","20"
"01","19"
"01","19"
"01","19"
"01","18"
"01","18"
"01","17"
"01","17"
"01","16"
"01","16"
"01","15"
"01","15"
"01","14"
"01","14"
"01","12"
"01","10"
"01","08"
"01","06"
"01","04"
"01","02"
"01","00"
"01","22"
"01","22"
"01","21"
"01","21"
"01","21"
"01","20"
"01","19"
"01","19"
"01","19"
"01","18"
"01","18"
"01","18"
"01","17"
"01","17"
"01","16"
"01","16"
"01","15"
"01","15"
"01","15"
"01","14"
"01","12"
"01","10"
"01","09"
"01","06"
"01","05"
"01","05"
"01","04"
"01","03"
"01","02"
"01","01"
"01","01"
"01","01"
"01","00"
"01","23"
"01","22"
"01","22"
"01","21"
"01","21"
"01","20"
"01","20"
"01","19"
"01","19"
"01","19"
"01","18"
"01","18"
"01","17"
"01","17"
"01","16"
"01","16"
"01","15"
"01","15"
"01","14"
"01","14"
"01","13"
"01","13"
"01","12"
"01","12"
"01","12"
"01","12"
"01","11"
"01","11"
"01","11"
"01","10"
"01","09"
"01","08"
"01","07"
"01","06"
"01","05"
"01","05"
"01","04"
"01","04"
"01","03"
"01","02"
"01","02"
"01","01"
"01","01"
"01","00"
"01","00"
"01","23"
"01","23"
"01","22"
"01","22"
"01","21"
"01","21"
"01","20"
"01","20"
"01","19"
"01","19"
"01","19"
"01","18"
"01","18"
"01","17"
"01","17"
"01","17"
"01","16"
"01","16"
"01","15"
"01","15"
"01","14"
"01","14"
"01","14"
"01","13"
"01","13"
"01","12"
"01","11"
"01","11"
"01","10"
"01","09"
"01","09"
"01","07"
"01","06"
"01","06"
"01","05"
"01","05"
"01","04"
"01","04"
"01","03"
"01","03"
"01","02"
"01","02"
"01","02"
"01","01"
"01","01"
"01","00"
"01","00"
"01","23"
"01","23"
"01","22"
"01","22"
"01","21"
"01","21"
"01","20"
"01","20"
"01","20"
"01","19"
"01","19"
