"source","target"
"20209807","17976923"
"20209807","25086658"
"20209807","22509548"
"20209807","19739126"
"20209807","5558312"
"20209807","37094727"
"20209807","27676828"
"20209807","292935209"
"20209807","33655490"
"20209807","1058807868"
"20209807","37007274"
"20209807","26051676"
"20209807","550401754"
"20209807","161743731"
"20209807","234022257"
"20209807","1071900114"
"20209807","14275291"
"20209807","21157904"
"20209807","20597460"
"20209807","229966028"
"20209807","20467163"
"234797704","17976923"
"234797704","295685416"
"234797704","24183358"
"234797704","233761277"
"234797704","22509548"
"234797704","52503751"
"234797704","19739126"
"234797704","17800215"
"234797704","16056306"
"234797704","18166778"
"234797704","851621377"
"234797704","18030431"
"234797704","74198348"
"234797704","15856366"
"234797704","402719755"
"234797704","27676828"
"234797704","20015903"
"234797704","24735461"
"234797704","15160884"
"234797704","246341769"
"234797704","1089334250"
"234797704","237312687"
"234797704","234822928"
"234797704","2973870195"
"234797704","1058256326"
"234797704","976969338"
"234797704","229197216"
"234797704","1058807868"
"234797704","1060487274"
"234797704","246769138"
"234797704","37920978"
"234797704","32010840"
"234797704","18566912"
"234797704","1058460818"
"234797704","233949261"
"234797704","237814920"
"234797704","1092757885"
"234797704","248699486"
"234797704","240393970"
"234797704","23976316"
"234797704","19926675"
"234797704","252819642"
"234797704","219429281"
"234797704","235251868"
"234797704","1069124515"
"234797704","1045853744"
"234797704","19658173"
"234797704","963480595"
"234797704","244268646"
"234797704","33977070"
"234797704","20053279"
"234797704","950328072"
"234797704","213634439"
"234797704","234053893"
"234797704","935033864"
"234797704","234837632"
"234797704","1077446982"
"234797704","29766367"
"234797704","18773159"
"234797704","221793778"
"234797704","234022257"
"234797704","237750442"
"234797704","211420609"
"234797704","1071900114"
"234797704","975200486"
"234797704","234128524"
"234797704","190328374"
"234797704","240363117"
"234797704","6577802"
"234797704","1058345042"
"234797704","24773493"
"234797704","237862972"
"234797704","137407124"
"234797704","76452765"
"234797704","15356407"
"234797704","14275291"
"234797704","21269970"
"234797704","78403308"
"234797704","225921757"
"234797704","47975734"
"234797704","217543151"
"234797704","19394188"
"234797704","18915145"
"234797704","968650362"
"234797704","18916432"
"234797704","237348797"
"234797704","17544524"
"234797704","16256269"
"82453460","15281676"
"82453460","21312077"
"82453460","48086014"
"82453460","18137749"
"82453460","188019606"
"82453460","299883942"
"82453460","38254095"
"82453460","23600262"
"82453460","432676344"
"82453460","22812754"
"82453460","80612021"
"82453460","14135426"
"82453460","36686040"
"82453460","15764644"
"82453460","156333623"
"82453460","199325935"
"82453460","248735463"
"82453460","1531521632"
"82453460","133832049"
"82453460","161791703"
"82453460","148453195"
"82453460","163570705"
"82453460","292935209"
"82453460","787373558"
"82453460","168673083"
"82453460","1155335864"
"82453460","82649553"
"82453460","1140648348"
"82453460","168502762"
"82453460","111635527"
"82453460","22669526"
"82453460","24745957"
"82453460","467823431"
"82453460","40302336"
"82453460","138770045"
"82453460","29450962"
"82453460","239949176"
"82453460","153486399"
"82453460","267854863"
"82453460","24913074"
"82453460","381152398"
"82453460","1074129612"
"82453460","234014087"
"82453460","249410485"
"82453460","22012091"
"82453460","240812994"
"516880804","188019606"
"516880804","16056306"
"516880804","14135426"
"516880804","15764644"
"516880804","168673083"
"516880804","164007407"
"516880804","17513304"
"516880804","76350004"
"516880804","16583468"
"516880804","252249233"
"516880804","28602948"
"516880804","479872233"
"516880804","24913074"
"516880804","1262814457"
"516880804","1055685948"
"516880804","22012091"
"74508260","21312077"
"74508260","3122099613"
"74508260","31801993"
"74508260","15764644"
"74508260","29501253"
"74508260","1289319271"
"74508260","960696949"
"74508260","613725908"
"74508260","2966570782"
"74508260","2962994194"
"74508260","18695134"
"74508260","1382011333"
"137823987","15764644"
"137823987","339852137"
"137823987","50452197"
"137823987","252249233"
"137823987","20545793"
"137823987","250188760"
"137823987","18695134"
"137823987","16789970"
"137823987","29201047"
"137823987","22012091"
"15394954","20209807"
"15394954","234797704"
"15394954","15281676"
"15394954","17976923"
"15394954","14984637"
"15394954","10615232"
"15394954","295685416"
"15394954","25086658"
"15394954","24183358"
"15394954","76132891"
"15394954","299883942"
"15394954","242761889"
"15394954","18967498"
"15394954","22831059"
"15394954","22509548"
"15394954","16102244"
"15394954","235312723"
"15394954","38254095"
"15394954","52503751"
"15394954","17896154"
"15394954","19739126"
"15394954","23712174"
"15394954","242926427"
"15394954","2963445730"
"15394954","20546536"
"15394954","17800215"
"15394954","16056306"
"15394954","18805303"
"15394954","18632666"
"15394954","18166778"
"15394954","851621377"
"15394954","5558312"
"15394954","13218102"
"15394954","18030431"
"15394954","74198348"
"15394954","1155212191"
"15394954","22545491"
"15394954","15856366"
"15394954","18061669"
"15394954","377534571"
"15394954","37094727"
"15394954","402719755"
"15394954","7429102"
"15394954","278145569"
"15394954","339822881"
"15394954","15751083"
"15394954","27676828"
"15394954","34972633"
"15394954","20015903"
"15394954","1410590874"
"15394954","24735461"
"15394954","15160884"
"15394954","34340464"
"15394954","246341769"
"15394954","1305596696"
"15394954","234469322"
"15394954","296245061"
"15394954","1089334250"
"15394954","960962340"
"15394954","249348006"
