"id_str","twitter","bioid","name","gender","chamber","party","followers_count"
20209807,"AnderCrenshaw","C001045","Ander Crenshaw","M","rep","Republican",9107
234797704,"AustinScottGA08","S001189","Austin Scott","M","rep","Republican",8316
82453460,"BennieGThompson","T000193","Bennie G. Thompson","M","rep","Democrat",5002
516880804,"BettyMcCollum04","M001143","Betty McCollum","F","rep","Democrat",7211
74508260,"BillPascrell","P000096","Bill Pascrell Jr.","M","rep","Democrat",5362
137823987,"BlumenauerMedia","B000574","Earl Blumenauer","M","rep","Democrat",2799
15394954,"BobLatta","L000566","Robert E. Latta","M","rep","Republican",16478
30216513,"BradSherman","S000344","Brad Sherman","M","rep","Democrat",8641
305620929,"Call_Me_Dutch","R000576","C. A. Dutch Ruppersberger","M","rep","Democrat",6037
15281676,"CandiceMiller","M001150","Candice S. Miller","F","rep","Republican",9952
17976923,"CathyMcMorris","M001159","Cathy McMorris Rodgers","F","rep","Republican",24263
21312077,"CBRangel","R000053","Charles B. Rangel","M","rep","Democrat",24523
48086014,"ChakaFattah","F000043","Chaka Fattah","M","rep","Democrat",11592
14984637,"ChelliePingree","P000597","Chellie Pingree","F","rep","Democrat",12841
150078976,"ChrisMurphyCT","M001169","Christopher Murphy","M","sen","Democrat",41609
18137749,"ChrisVanHollen","V000128","Chris Van Hollen","M","rep","Democrat",25569
10615232,"ChuckGrassley","G000386","Chuck Grassley","M","sen","Republican",94236
188019606,"Clyburn","C000537","James E. Clyburn","M","rep","Democrat",29086
295685416,"ConawayTX11","C001062","K. Michael Conaway","M","rep","Republican",5358
25086658,"CongBillPosey","P000599","Bill Posey","M","rep","Republican",10263
24183358,"CongCulberson","C001048","John Abney Culberson","M","rep","Republican",7398
233761277,"CongHuelskamp","H001057","Tim Huelskamp","M","rep","Republican",13475
76132891,"CongMikeSimpson","S001148","Michael K. Simpson","M","rep","Republican",4135
299883942,"CongPalazzo","P000601","Steven M. Palazzo","M","rep","Republican",7267
242761889,"CongressmanDan","B001271","Dan Benishek","M","rep","Republican",9383
18967498,"CongressmanGT","T000467","Glenn Thompson","M","rep","Republican",11007
2975091705,"congressmanhice","H001071","Jody B. Hice","M","rep","Republican",1565
