"id","user_id","created_at","lang","text","bullying_traces","type","form","teasing","author_role","emotion"
99706979920003072,20292001,"2011-08-06 05:02:51","en","#Canada News: And the saga of official bullying #bilingualism continues.  #english #french #francophone... HTTPLINK","n","","","","",""
99707111340118016,324101452,"2011-08-06 05:03:22","en","HTTPLINK   scabies Celebrities open up about their bullying experiences in new book Dont Peak at High School","n","","","","",""
99707118503997440,323123564,"2011-08-06 05:03:24","en","scabies Celebrities open up about their bullying experiences in new book Dont Peak at High School ;) HTTPLINK","n","","","","",""
99707128851333120,320005085,"2011-08-06 05:03:26","en",":O Celebrities open up about their bullying experiences in new book Dont Peak at High School HTTPLINK scabies","n","","","","",""
99707185780625408,24140043,"2011-08-06 05:03:40","pt","@USER Y me trata de ""feli"" por internet, esto es cyber bullying! ( @USER @USER )","n","","","","",""
99707574563250176,62934083,"2011-08-06 05:05:12","pt","O que o @USER faz comigo é bullying! Tsc. Kkkkkk","n","","","","",""
99707755400663040,27067360,"2011-08-06 05:05:56","en","Tell @USER: Denounce anti- #gay bullying in your district! HTTPLINK #lgbt #p2 #itgetsbetter","n","","","","",""
99707883024945152,76683098,"2011-08-06 05:06:26","es","@USER llama a hacer un funeral digno a la concertación. lo escribí hace 2 meses y fui víctima de Bullying","n","","","","",""
99708007646113792,257241710,"2011-08-06 05:06:56","en","People call another Guy fat. No one knows he has a serious disease causing him to be overweight​. Retweet if you against bullying","y","self-disclosure","verbal","n","defender","none"
99708112415625216,96646049,"2011-08-06 05:07:21","pt","Eu sofro bullying","n","","","","",""
99708173212057600,233762237,"2011-08-06 05:07:35","es","El inicio a clases está por llegar.  Redoblemos esfuerzos, fomentemos en los alumnos desde el inicio la CERO TOLERANCIA AL BULLYING.","n","","","","",""
99708612687040512,18731863,"2011-08-06 05:09:20","en","@USER well i dont know why youre so damned happy, but bully for you, bro","n","","","","",""
99708642315603968,349223465,"2011-08-06 05:09:27","en","fan, not here to defend him. I just don't agree to cyber bullying. It's a coward's way to defamed a person. Be smart","y","report","other","n","reporter","none"
99708835127754752,265101714,"2011-08-06 05:10:13","pt","Read my response to ""Já sofreu bulling na escola?"": HTTPLINK","n","","","","",""
99709207615508480,58368584,"2011-08-06 05:11:42","en","""bullies will always be bullies."" and the bullieD will always be the bullieD bitches;*","n","","","","",""
99709374041296896,216238519,"2011-08-06 05:12:21","pt","@USER ... o Bullying, será que ela dava essa palestra? Acha legal ou melhor desistir?","n","","","","",""
99709975986847744,117047834,"2011-08-06 05:14:45","en","I remember I use to BULLY some lame ass back in 5th grade named uh.... Floyd... Mayweather... Yeah thTs his name! He was so small!","y","self-disclosure","other","y","bully","none"
99710572454621184,239762592,"2011-08-06 05:17:07","en","""@USER:I really think that @USER @USER should apologize to marcell for making him the object of bullying over nothing #sawityowit","y","self-disclosure","other","n","defender","none"
99710914147782656,39021007,"2011-08-06 05:18:29","en","“After my teaser was released, there were articles saying that I looked like a bully, I was so happy since … (cont) HTTPLINK~ung6f","y","self-disclosure","other","n","victim","relief"
99711201663135744,294795815,"2011-08-06 05:19:37","en","@USER BULLY.","y","accusation","other","n","accuser","none"
99711777956315136,166448111,"2011-08-06 05:21:55","en","Pet Birds | Making Sense a bird cage and bird toys: Your child has had problems with a bully, most of the school... HTTPLINK","n","","","","",""
99711814677434368,285659170,"2011-08-06 05:22:03","en","@USER is a bully :/","y","accusation","other","n","accuser","none"
99712234971865088,37290675,"2011-08-06 05:23:44","en","@USER Needs to not be a bully. #asshat","y","report","other","n","reporter","anger"
99712267251232768,48428851,"2011-08-06 05:23:51","pt","tiramos váaaaaaaaarias fotos. haha vou ver se alguma eu estou sofrendo bullying haha","n","","","","",""
99712417050791936,331456268,"2011-08-06 05:24:27","en","@USER Cause I'm a good person and trying 2 get u guys 2 stop bullying ppl online it cruel.","y","self-disclosure","cyberbullying","n","defender","none"
99712633174888448,225505498,"2011-08-06 05:25:18","en","@USER LOL.i seen your fishbwoy bro and his friends at mcdonalds. didnt i tell you he gets bullied, i know why he tries to boup on you.","y","report","other","n","reporter","none"
99713157383192576,70885393,"2011-08-06 05:27:23","es","Me acuerdo de un video bien chido de Bullying en Mexico de una gorda que le apliquen la mistica xD","n","","","","",""
99713261901066240,231104242,"2011-08-06 05:27:48","en","@USER @USER im noot gonna bully you lol","n","","","","",""
99713854954676224,311661685,"2011-08-06 05:30:10","en","me hace bulling :'(","n","","","","",""
99714001067458560,347401380,"2011-08-06 05:30:45","es","Soy víctima de bullying por estos 5 :/  HTTPLINK","n","","","","",""
99714460884811776,33378770,"2011-08-06 05:32:34","en","Jarel lied i was never a bully lol hahaha i was always the nicest dude lol","y","denial","other","y","bully","none"
99714505646415872,105647239,"2011-08-06 05:32:45","en","Had a blast in the glass at the movies with my two bros @USER and @USER even though I was bullied the whole time #punks","y","self-disclosure","other","n","victim","none"
99714557072781312,286624694,"2011-08-06 05:32:57","en","@USER I WANT DRINK COKE! I WANT COKE! AHHHHHH!!! MUMMY AH HUI BULLY ME!","n","","","","",""
99715091255148544,337778471,"2011-08-06 05:35:05","en","They're bullying me. = = x)) HTTPLINK","y","self-disclosure","other","n","victim","none"
99715158963789824,339287670,"2011-08-06 05:35:21","pt","ou esse @USER ele roba meus pensamentos nunca vi,e ele me bloqueou no msn sofri Bullying como diria minha amiga @USER","n","","","","",""
